img;score
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\01_01_01_C.avi\0.png;[0.9868684]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\01_01_01_C.avi\1.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\01_01_01_C.avi\10.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\01_01_01_C.avi\100.png;[0.00114506]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\01_01_01_C.avi\101.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\01_01_01_C.avi\102.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\01_01_01_C.avi\103.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\01_01_01_C.avi\104.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\01_01_01_C.avi\105.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\01_01_01_C.avi\106.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\01_01_01_C.avi\107.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\01_01_01_C.avi\108.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\01_01_01_C.avi\109.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\01_01_01_C.avi\11.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\01_01_01_C.avi\110.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\01_01_01_C.avi\111.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\01_01_01_C.avi\112.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\01_01_01_C.avi\113.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\01_01_01_C.avi\114.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\01_01_01_C.avi\115.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\01_01_01_C.avi\116.png;[0.]
D:\Pattern_Letters_HR_PAD\BBDD\3DMAD\RawFrames\01_01_01_C.avi\117.png;[0.]
